title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Rainbow Snake;Wii U;RandomSpin;May  3, 2018;;;;;;tbd;1;0;0;1;RandomSpin;Action, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/rainbow-snake
Unalive;Wii U;RandomSpin;Apr 26, 2018;;;;;;tbd;;;;;RandomSpin;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/unalive
Aqua Moto Racing Utopia;Wii U;Zordix;Apr 19, 2018;;;;;;7.5;2;2;0;0;Zordix;Driving, Racing, Arcade, Other;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/aqua-moto-racing-utopia
Shadow Archery;Wii U;Ultra Dolphin Revolution;Apr 12, 2018;;;;;;tbd;;;;;Ultra Dolphin Revolution;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/shadow-archery
Spellcaster's Assistant;Wii U;Ultra Dolphin Revolution;Mar 29, 2018;;;;;;tbd;;;;;Ultra Dolphin Revolution;Action, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/spellcasters-assistant
RTO 2;Wii U;nuGAME;Mar  1, 2018;;;;;;tbd;;;;;nuGAME;Action Adventure, Survival;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/wii-u/rto-2
Fat Dragons;Wii U;Nostatic Software;Feb 22, 2018;;;;;;tbd;;;;;Nostatic Software;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/fat-dragons
Aperion Cyberstorm;Wii U;aPriori Digital;Feb  8, 2018;;;;;;tbd;;;;;aPriori Digital;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/wii-u/aperion-cyberstorm
Toon War;Wii U;Lemondo Entertainment;Feb  1, 2018;;;;;;tbd;1;1;0;0;Lemondo Entertainment;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/wii-u/toon-war
Jolt Family Robot Racer;Wii U;Cooply Apps;Jan 11, 2018;;;;;;tbd;;;;;Cooply Apps;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/jolt-family-robot-racer
