title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
10-in-1: Arcade Collection;3DS;Gamelion Studios;Aug 15, 2013;;;;;;3.3;3;0;0;3;Gamelion Studios;;;;;;;https://www.metacritic.com/game/3ds/10-in-1-arcade-collection
Heavy Fire: Black Arms 3D;3DS;Teyon;Aug 15, 2013;;;;;;tbd;3;1;0;2;Teyon;;;;;;;https://www.metacritic.com/game/3ds/heavy-fire-black-arms-3d
Barbie: Groom and Glam Pups;3DS;Little Orbit;Aug 15, 2013;;;;;;tbd;;;;;Game Machine Studios;;;;;;;https://www.metacritic.com/game/3ds/barbie-groom-and-glam-pups
My Western Horse 3D;3DS;TREVA Entertainment GmbH;Aug 15, 2013;;;;;;tbd;;;;;Raylight Studios;;;;;;;https://www.metacritic.com/game/3ds/my-western-horse-3d
Phineas and Ferb: Quest for Cool Stuff;3DS;Majesco Games;Aug 13, 2013;;;;;;tbd;0;0;0;0;Disney Interactive Studios;;;;;;;https://www.metacritic.com/game/3ds/phineas-and-ferb-quest-for-cool-stuff
Mario & Luigi: Dream Team;3DS;Nintendo;Aug 11, 2013;81;75;60;15;0;8.2;76;57;15;4;Alphadream Corporation;Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/3ds/mario-luigi-dream-team
SteamWorld Dig;3DS;Image & Form;Aug  8, 2013;82;31;26;5;0;8.0;24;23;0;1;Image & Form;Action, Action Adventure, Platformer, General, Platformer, 2D, 2D;1 Player;E10+;;;;https://www.metacritic.com/game/3ds/steamworld-dig
Smash Bowling 3D;3DS;Big John Games;Aug  8, 2013;;;;;;tbd;2;0;2;0;Big John Games;Sports, Alternative, Individual, Bowling, Bowling;1 Player;E;;;;https://www.metacritic.com/game/3ds/smash-bowling-3d
Tangram Style;3DS;Moving Player;Aug  8, 2013;54;4;0;3;1;tbd;0;0;0;0;Moving Player;Miscellaneous, Puzzle, Puzzle, Logic, Logic;1 Player;E;;;;https://www.metacritic.com/game/3ds/tangram-style
Disney Planes;3DS;Disney Interactive Studios;Aug  6, 2013;;;;;;4.3;0;0;0;0;TOSE;;;;;;;https://www.metacritic.com/game/3ds/disney-planes
Family Kart 3D;3DS;Arc System Works;Aug  1, 2013;;;;;;tbd;;;;;Arc System Works;;;;;;;https://www.metacritic.com/game/3ds/family-kart-3d
Bike Rider DX;3DS;Spicysoft Corp.;Aug  1, 2013;71;4;2;2;0;7.3;4;4;0;0;Lireneosoft;;;;;;;https://www.metacritic.com/game/3ds/bike-rider-dx
My Farm 3D;3DS;Bigben Interactive;Aug  1, 2013;;;;;;tbd;;;;;BiP Media;;;;;;;https://www.metacritic.com/game/3ds/my-farm-3d
Picross e2;3DS;Jupiter Corporation;Jul 25, 2013;68;16;5;11;0;7.1;1;0;1;0;Jupiter Corporation;;;;;;;https://www.metacritic.com/game/3ds/picross-e2
