title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Furi;Switch;The Game Bakers;2018-01-11;74.0;16;9;7;0;75.0;7;3;2;2;The Game Bakers;3D, Action, Fighting;No Online Multiplayer;M;Emeric Thoa;Audrey Leprince;;50-74;0;0
Furi;PlayStation 4;The Game Bakers;2016-07-05;77.0;37;29;8;0;76.99;73;56;8;9;The Game Bakers;;;;Emeric Thoa;Audrey Leprince;;75-89;0;0
Furious Karting;Xbox;Atari;2003-03-28;63.0;17;2;14;1;0.0;1;0;1;0;Babylon Software;Driving, Racing, Kart;1-4;T;;;;50-74;0;1
Furry Legends;DS;Gamelion Studios;2011-10-13;47.0;4;0;3;1;0.0;0;0;0;0;Gamelion Studios;Action, Platformer, 3D;No Online Multiplayer;E;;;;50-;1;0
Furry Legends;Wii;Gamelion Studios;2010-07-19;58.0;8;2;4;2;63.01;0;0;0;0;Gamelion Studios;;;;;;;50-74;0;0
Furu Furu Park;Wii;Majesco Games;2008-01-17;43.0;16;0;6;10;48.01;1;0;1;0;Taito Corporation, 505 Games;Party, Miscellaneous, Party / Minigame;1-4;E10+;;;;50-;0;1
Fury;PC;Gamecock Media Group;2007-10-16;55.0;15;0;10;5;46.99;19;8;1;10;Auran;Massively Multiplayer Online, Fantasy, Massively Multiplayer Online Online, Role-Playing;Massively Multiplayer;T;;;;50-74;0;1
Fuse;PlayStation 3;Electronic Arts;2013-05-28;63.0;35;4;28;3;53.01;25;13;8;4;Insomniac Games;;;;;;;50-74;0;0
Fuse;Xbox 360;Electronic Arts;2013-05-28;62.0;46;7;34;5;56.02;30;17;9;4;Insomniac Games;;;;;;;50-74;0;0
Fusion: Genesis;Xbox 360;Microsoft Game Studios;2011-11-09;69.0;17;6;11;0;78.98;6;6;0;0;Starfire Studios;;;;;;;50-74;0;1
Futurama;Xbox;Sierra Entertainment;2003-08-14;58.0;21;2;15;4;66.99;12;5;4;3;UDS;Action, Platformer, 3D;No Online Multiplayer;T;;;;50-74;0;0
Futurama;PlayStation 2;VU Games;2003-08-14;59.0;22;3;15;4;61.99;5;2;3;0;UDS;Action, Platformer, 3D;No Online Multiplayer;T;;;;50-74;0;0
Future Tactics: The Uprising;Gamecube;Crave;2004-05-10;63.0;19;4;14;1;0.0;0;0;0;0;Zed Two Limited;Turn-Based, Strategy, Sci-Fi;1-4;T;John Pickford;;;50-74;0;0
Future Tactics: The Uprising;Xbox;Crave;2004-05-10;61.0;24;2;19;3;0.0;1;0;0;1;;;;;John Pickford;;;50-74;0;0
Future Tactics: The Uprising;PlayStation 2;Crave;2004-05-10;61.0;25;1;21;3;61.02;2;0;1;1;Zed Two Limited;Turn-Based, Strategy, Sci-Fi;1-4;T;John Pickford;;;50-74;0;0
Future Unfolding;PlayStation 4;Spaces of Play;2017-05-16;69.0;5;2;2;1;0.0;0;0;0;0;Spaces of Play;;;;;;;50-74;0;0
Future Unfolding;PC;Spaces of Play;2017-03-15;76.0;11;6;5;0;68.01;1;1;0;0;Spaces of Play;;No Online Multiplayer;;;;;75-89;0;0
Future War:Reborn;Xbox One;Good net technology co. Ltd;2017-12-20;41.0;5;0;2;3;0.0;1;0;1;0;Good net technology co. Ltd;;;;;;;50-;0;1
Futuridium EP Deluxe;Wii U;MixedBag Srl;2016-05-26;82.0;4;3;1;0;0.0;0;0;0;0;MixedBag Srl;;;;;;;75-89;0;0
Futuridium EP Deluxe;PlayStation 4;MixedBag Srl;2014-09-30;73.0;18;11;6;1;56.02;13;6;3;4;MixedBag Srl;;;;;;;50-74;0;0
Fuzion Frenzy;Xbox;Microsoft Game Studios;2001-11-14;70.0;28;13;13;2;68.01;11;4;3;4;Blitz Games;Party, Miscellaneous;1-4;E;;;;50-74;0;1
Fuzion Frenzy 2;Xbox 360;Microsoft Game Studios;2007-01-30;49.0;47;4;23;20;53.01;17;4;5;8;Hudson Soft;Party, Miscellaneous, Party / Minigame;1-4;E10+;;;;50-;0;1
G-Force;PC;Disney Interactive Studios;2009-07-21;61.0;4;0;4;0;87.97;2;2;0;0;Eurocom Entertainment Software;;;;;;;50-74;0;0
G-Force;Wii;Disney Interactive Studios;2009-07-21;69.0;6;3;3;0;87.03;0;0;0;0;Eurocom Entertainment Software;;;;;;;50-74;0;0
G-Force;PlayStation 3;Disney Interactive Studios;2009-07-21;68.0;22;5;17;0;80.0;0;0;0;0;Eurocom Entertainment Software;;;;;;;50-74;0;0
G-Force;Xbox 360;Disney Interactive Studios;2009-07-21;68.0;33;8;25;0;73.01;2;2;0;0;Eurocom Entertainment Software;Action, Platformer, General, 3D;No Online Multiplayer;E10+;;;;50-74;0;0
G.I. Combat;PC;Strategy First;2002-11-04;38.0;9;0;4;5;36.0;2;0;0;2;Freedom Games;Real-Time, Wargame, Strategy, General;1-4;T;;;;50-;0;1
G.I. Joe: The Rise of Cobra;PlayStation 2;Electronic Arts;2009-08-04;50.0;4;0;1;3;20.0;0;0;0;0;Double Helix Games;Action, General;1-4;T;;;;50-;0;0
G.I. Joe: The Rise of Cobra;Wii;Electronic Arts;2009-08-04;51.0;11;0;6;5;0.0;0;0;0;0;Double Helix Games;Action, General;1-4;T;;;;50-74;0;0
G.I. Joe: The Rise of Cobra;DS;Electronic Arts;2009-08-04;47.0;16;0;8;8;75.0;0;0;0;0;Backbone Entertainment;Action, General;1-4;E10+;;;;50-;1;0
G.I. Joe: The Rise of Cobra;PlayStation 3;Electronic Arts;2009-08-04;43.0;32;1;12;19;46.02;3;2;1;0;Double Helix Games;Action, General;1-4;T;;;;50-;0;0
G.I. Joe: The Rise of Cobra;Xbox 360;Electronic Arts;2009-08-04;42.0;59;3;23;33;46.99;4;1;1;2;Double Helix Games;Action, General;1-4;T;;;;50-;0;0
G1 Jockey 3;PlayStation 2;Koei;2003-05-28;71.0;12;5;7;0;82.03;7;7;0;0;Koei/Inis;Horse Racing, Sports, Alternative;1-4;E;;;;50-74;0;1
GARAGE: Bad Trip;PC;tinyBuild;2018-07-06;63.0;6;1;5;0;73.98;0;0;0;0;Zombie Dynamics;;No Online Multiplayer;;;;;50-74;0;1
GEON;PlayStation 3;Pinnacle;2008-09-25;73.0;6;3;3;0;0.0;0;0;0;0;Strawdog Studios, Pinnacle;Matching, Miscellaneous, Puzzle;1-4;E;;;;50-74;0;1
GEON: emotions;Xbox 360;Eidos Interactive;2007-09-19;59.0;13;3;8;2;85.0;1;1;0;0;Eidos Interactive, Strawdog Studios;Action, Puzzle, Matching, Miscellaneous, General;1-4;E;;;;50-74;0;1
GNOG;PlayStation 4;KO-OP;2017-05-02;77.0;29;19;10;0;68.98;5;3;2;0;KO-OP;;;;;;;75-89;0;0
GO Series: Earth Saver;DS;Gamebridge;2011-03-07;69.0;4;1;3;0;0.0;0;0;0;0;Tom Create;Action, General;No Online Multiplayer;E;;;;50-74;1;1
GODS Remastered;Xbox One;Robot Riot UG;2018-12-04;56.0;4;0;4;0;0.0;1;0;1;0;Robot Riot UG;;No Online Multiplayer;;;;;50-74;0;0
GRID;DS;Codemasters;2008-08-05;79.0;19;16;2;1;81.02;4;2;0;2;Firebrand Games;Driving, Automobile, GT / Street, Simulation, Racing;No Online Multiplayer;E;;;;75-89;1;0
GRID;PC;Codemasters;2008-06-03;87.0;25;24;1;0;78.98;127;80;16;31;Codemasters;Driving, Automobile, GT / Street, Simulation, Racing;1-16;E;;;;75-89;0;0
GRID;PlayStation 3;Codemasters;2008-06-03;87.0;39;39;0;0;80.0;34;27;6;1;Codemasters;Driving, Automobile, GT / Street, Simulation, Racing;1-16;E;;;;75-89;0;0
GRID;Xbox 360;Codemasters;2008-06-03;87.0;62;62;0;0;78.98;42;28;7;7;Codemasters;Driving, Automobile, GT / Street, Simulation, Racing;1-16;E;;;;75-89;0;0
GRID 2;PC;Codemasters;2013-05-27;80.0;17;15;2;0;58.01;144;39;32;73;Codemasters;;;;;;;75-89;0;0
GRID 2;PlayStation 3;Codemasters;2013-05-28;82.0;20;18;2;0;66.02;33;19;11;3;Codemasters;;;;;;;75-89;0;0
GRID 2;Xbox 360;Codemasters;2013-05-28;78.0;51;35;16;0;56.99;37;12;11;14;Codemasters;;;;;;;75-89;0;0
GRID Autosport;Xbox 360;Codemasters;2014-06-24;75.0;15;8;7;0;60.0;11;5;3;3;Codemasters;;;;;;;75-89;0;0
GRID Autosport;PC;Codemasters;2014-06-26;78.0;35;24;11;0;63.01;66;25;15;26;Codemasters;;;;;;;75-89;0;0
GRID Autosport;PlayStation 3;Codemasters;2014-06-24;75.0;35;20;14;1;66.99;17;11;4;2;Codemasters;Driving, Automobile, GT / Street, Simulation, Racing;1-16;E;;;;75-89;0;0
GRIDD: Retroenhanced;Xbox One;Kongregate;2017-07-26;81.0;5;4;1;0;0.0;0;0;0;0;Kongregate;;;;;;;75-89;0;0
GRIP: Combat Racing;Switch;Wired Productions;2018-11-06;60.0;10;0;9;1;61.99;6;4;0;2;Caged Element Inc.;Automobile, Arcade, Racing;1-16;E10+;;;;50-74;0;0
GRIP: Combat Racing;Xbox One;Wired Productions;2018-11-06;69.0;13;5;8;0;63.98;2;1;0;1;Caged Element Inc.;Automobile, Arcade, Racing;1-16;E10+;;;;50-74;0;0
GRIP: Combat Racing;PC;Caged Element Inc.;2018-11-06;74.0;17;12;3;2;76.02;4;4;0;0;Caged Element Inc.;Automobile, Arcade, Racing;Online Multiplayer;E10+;;;;50-74;0;0
GRIP: Combat Racing;PlayStation 4;Wired Productions;2018-11-06;71.0;19;7;12;0;55.0;3;3;0;0;Caged Element Inc.;Automobile, Arcade, Racing;1-16;E10+;;;;50-74;0;0
GRIS;PC;Devolver Digital;2018-12-13;83.0;37;30;7;0;86.02;34;29;2;3;Nomada Studio;Action, Platformer, 2D;No Online Multiplayer;E;;;;75-89;0;0
GRIS;Switch;Devolver Digital;2018-12-13;84.0;41;37;4;0;87.03;24;21;2;1;Nomada Studio;Action, Platformer, 2D;No Online Multiplayer;E;;;;75-89;0;0
GT Advance 2: Rally Racing;GBA;THQ;2002-06-30;77.0;12;6;6;0;61.99;2;0;1;1;MTO;Driving, Rally / Offroad, Racing;1-4;E;;;;75-89;1;1
GT Advance 3: Pro Concept Racing;GBA;THQ;2003-02-06;74.0;14;7;6;1;87.97;2;1;1;0;MTO;GT / Street, Driving, Racing;1-4;E;;;;50-74;1;1
GT Advance Championship Racing;GBA;THQ;2001-06-08;82.0;10;7;3;0;0.0;1;1;0;0;MTO;GT / Street, Driving, Racing;1-4;E;Kazuyuki Takimoto, Hideyuki Shirahama;;;75-89;1;1
GT Legends;PC;Viva Media;2006-01-23;84.0;21;19;2;0;78.98;10;9;0;1;SimBin;Driving, Automobile, GT / Street, Simulation, Racing;1-16;E;;;;75-89;0;1
GT Pro Series;Wii;Ubisoft;2006-11-14;41.0;15;0;4;11;40.0;10;1;0;9;MTO;Driving, Automobile, GT / Street, Simulation, Racing;1-4;E;;;;50-;0;1
GTI Club + Rally Cote D'Azur;PlayStation 3;Sony Interactive Entertainment;2009-01-15;70.0;17;5;12;0;75.0;2;0;2;0;Sumo Digital;Automobile, Arcade, Driving, Racing;1-8;E;;;;50-74;0;1
GTI Club Supermini Festa!;Wii;Konami;2010-03-16;46.0;11;0;6;5;0.0;0;0;0;0;Konami;;;;;;;50-;0;0
GTR 2;PC;10tacle Studios;2006-09-29;90.0;26;26;0;0;87.03;16;16;0;0;SimBin;Driving, Automobile, GT / Street, Simulation, Racing;1-32;E;;;;90+;0;1
GTR Evolution;PC;Take-Two Interactive;2008-09-01;83.0;19;18;1;0;78.01;9;5;3;1;SimBin;;;;;;;75-89;0;1
GTR: FIA GT Racing Game;PC;10tacle Studios;2005-05-03;85.0;24;22;2;0;78.98;22;20;1;1;SimBin;Driving, Automobile, GT / Street, Simulation, Racing;1-64;E;;;;75-89;0;1
GUNS UP!;PlayStation 4;Sony Interactive Entertainment;2015-12-05;54.0;13;2;8;3;63.01;9;3;4;2;Valkyrie Entertainment;;;;;;;50-74;0;1
GUTS;PC;Flux Game Studio;2017-11-14;63.0;6;1;5;0;82.03;7;7;0;0;Flux Game Studio;;Online Multiplayer;;;;;50-74;0;1
Gabriel Knight 3: Blood of the Sacred, Blood of the Damned;PC;Sierra Entertainment;1999-10-05;80.0;19;12;7;0;82.97;8;8;0;0;Sierra Entertainment;Adventure, Point-and-Click, General;No Online Multiplayer;M;;;;75-89;0;1
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition;PC;Phoenix Online Publishing;2014-10-15;74.0;38;21;16;1;76.99;15;9;6;0;Pinkerton Road Studio;;;;;;;50-74;0;1
Gabrielle's Ghostly Groove 3D;3DS;Natsume;2011-10-04;62.0;9;2;6;1;73.98;2;2;0;0;Santa Entertainment;;;;;;;50-74;1;1
Gabrielle's Ghostly Groove: Monster Mix;Wii;Natsume;2011-05-16;44.0;4;1;1;2;0.0;0;0;0;0;Santa Entertainment;Dancing, Action, Rhythm, Miscellaneous;1-4;E;;;;50-;0;1
Gadget Racers;PlayStation 2;Conspiracy Entertainment;2001-08-21;67.0;10;4;5;1;73.98;6;6;0;0;Barnhouse Effect;Driving, Racing, Kart;1-4;E;;;;50-74;0;1
Gaiabreaker;Wii U;Ubiquitous Entertainment Inc.;2014-08-14;38.0;4;0;1;3;0.0;1;0;1;0;Ubiquitous Entertainment Inc.;;;;;;;50-;0;1
Gal Metal;Switch;XSEED Games;2018-10-30;63.0;18;3;14;1;61.99;2;1;0;1;DMM GAMES;Action, Rhythm, Music;No Online Multiplayer;T;;;;50-74;0;1
Gal*Gun 2;PlayStation 4;PQube;2018-04-24;56.0;12;2;6;4;61.02;2;1;0;1;Inti Creates;Shooter, Light Gun, Action;No Online Multiplayer;M;;;;50-74;0;0
Gal*Gun 2;Switch;PQube;2018-04-24;62.0;14;2;11;1;66.99;4;2;1;1;Inti Creates;Shooter, Light Gun, Action;No Online Multiplayer;M;;;;50-74;0;0
Gal*Gun: Double Peace;PlayStation 4;PQube;2016-08-02;64.0;21;7;10;4;66.99;4;3;1;0;Alchemist, Inti Creates;;;;;;;50-74;0;0
Galacide;PC;Puny Human Games;2015-07-28;76.0;5;2;3;0;0.0;0;0;0;0;Puny Human Games;;No Online Multiplayer;;;;;75-89;0;1
Galactic Assault: Prisoner of Power;PC;Paradox Interactive;2007-09-12;68.0;15;2;13;0;76.99;4;3;1;0;Wargaming.net;Turn-Based, Strategy, General, Sci-Fi;1-4;T;;;;50-74;0;1
Galactic Civilizations;PC;Strategy First;2003-03-26;83.0;18;15;3;0;76.99;6;5;1;0;Stardock;Turn-Based, 4X, Strategy, Sci-Fi;No Online Multiplayer;E;;;;75-89;0;1
Galactic Civilizations II: Dark Avatar;PC;Stardock;2007-02-14;91.0;22;22;0;0;78.98;8;7;0;1;Stardock;;No Online Multiplayer;;;;;90+;0;1
Galactic Civilizations II: Dread Lords;PC;Stardock;2006-02-21;86.0;39;36;3;0;76.99;26;16;5;5;Stardock;Turn-Based, 4X, Strategy, Sci-Fi;No Online Multiplayer;E10+;;;;75-89;0;1
Galactic Civilizations II: Endless Universe;PC;Kalypso;2008-09-26;82.0;4;3;1;0;0.0;0;0;0;0;Stardock;;;;;;;75-89;0;1
Galactic Civilizations II: Twilight of the Arnor;PC;Stardock;2008-04-30;92.0;19;19;0;0;83.98;30;18;4;8;Stardock;;No Online Multiplayer;;;;;90+;0;1
Galactic Civilizations III;PC;Stardock;2014-03-27;81.0;31;25;6;0;66.02;57;22;19;16;Stardock;;Online Multiplayer;;;;;75-89;0;1
Galactic Civilizations III: Crusade;PC;Stardock;2017-05-04;85.0;10;8;2;0;66.99;8;5;0;3;Stardock;;;;;;;75-89;0;1
Galactic Civilizations III: Intrigue;PC;Stardock;2018-04-11;83.0;6;5;1;0;71.99;1;1;0;0;Stardock;;;;;;;75-89;0;1
Galactic Civilizations III: Mercenaries;PC;Stardock;2016-02-18;66.0;7;2;4;1;70.0;2;1;0;1;Stardock;;;;;;;50-74;0;1
Galactic Civilizations: Altarian Prophecy;PC;Strategy First;2004-11-12;77.0;11;9;2;0;68.98;2;2;0;0;Stardock;Real-Time, Strategy, Turn-Based, Sci-Fi, 4X;No Online Multiplayer;E;;;;75-89;0;1
Galactic Wrestling: Featuring Ultimate Muscle;PlayStation 2;Bandai;2004-06-30;61.0;12;0;11;1;80.0;3;3;0;0;Aki Corp.;Wrestling, Action, Fighting;1-4;T;;;;50-74;0;1
Galaga;Xbox 360;Bandai Namco Games;2006-07-26;66.0;17;3;11;3;73.98;4;2;1;1;Namco Bandai Games;Shooter, Action, Vertical, Shoot-'Em-Up, Static;No Online Multiplayer;E;Toru Takahashi;;;50-74;0;1
Galaga Legions;Xbox 360;Bandai Namco Games;2008-08-20;74.0;28;16;12;0;78.98;7;4;2;1;Namco Bandai Games;Shooter, Action, Vertical, Shoot-'Em-Up, Static;No Online Multiplayer;E;;;;50-74;0;1
Galaga Legions DX;PlayStation 3;Bandai Namco Games;2011-08-02;72.0;7;2;5;0;78.01;2;2;0;0;Namco Bandai Games;;;;;;;50-74;0;0
Galaga Legions DX;Xbox 360;Bandai Namco Games;2011-06-29;74.0;31;15;16;0;0.0;0;0;0;0;Namco Bandai Games;;;;;;;50-74;0;0
Galaga: Destination Earth;PC;Hasbro Interactive;2000-09-23;59.0;6;1;4;1;66.99;1;0;1;0;King of the Jungle;;;;;;;50-74;0;0
Galak-Z: The Dimensional;PC;17-Bit;2015-10-29;78.0;7;6;1;0;56.02;1;0;1;0;17-Bit;;No Online Multiplayer;;;;;75-89;0;0
Galak-Z: The Dimensional;PlayStation 4;17-Bit;2015-08-04;82.0;42;38;4;0;71.99;20;11;5;4;17-Bit;;;;;;;75-89;0;0
Galak-Z: Variant S;Switch;GungHo;2018-07-12;62.0;10;1;7;2;63.98;1;0;1;0;GungHo, 17-Bit;Shooter, Action, Vertical, Shoot-'Em-Up;No Online Multiplayer;E;;;;50-74;0;1
Galaxy On Fire 2 Full HD;PC;bitComposer Games;2012-08-21;63.0;7;2;4;1;66.02;13;6;6;1;Fishlabs;;No Online Multiplayer;;;;;50-74;0;1
Galaxy of Pen & Paper;PC;Behold Studios;2017-07-27;65.0;6;0;6;0;0.0;0;0;0;0;Behold Studios;;No Online Multiplayer;;;;;50-74;0;1
Galcon Fusion;PC;Galcon;2010-02-11;68.0;8;2;5;1;63.98;2;0;0;2;Phil Hassey;;;;;;;50-74;0;1
Galerians: Ash;PlayStation 2;Sammy Studios;2003-02-03;50.0;22;3;10;9;78.98;7;5;2;0;Polygon Magic;Action Adventure, Horror;No Online Multiplayer;T;Kazuhiro Takeshita;;;50-;0;1
Galidor: Defenders of the Outer Dimension;GBA;Electronic Arts;2002-10-29;53.0;5;1;2;2;0.0;1;0;1;0;Tiertex Design Studios;;;;;;;50-74;1;1
Galleon: Islands of Mystery;Xbox;Atlus;2004-08-03;67.0;40;15;19;6;63.98;6;4;0;2;Confounding Factor;Action Adventure, Fantasy;No Online Multiplayer;T;;;;50-74;0;1
Gallop Racer 2001;PlayStation 2;Tecmo;2001-08-20;71.0;11;5;6;0;87.03;36;33;2;1;Tecmo;Horse Racing, Sports, Alternative;1-4;E;Toshiharu Tange;;;50-74;0;1
Gallop Racer 2003: A New Breed;PlayStation 2;Tecmo;2003-03-31;68.0;16;8;7;1;85.0;10;9;0;1;Tecmo;Horse Racing, Sports, Alternative;1-4;E;;;;50-74;0;1
Gallop Racer 2004;PlayStation 2;Tecmo;2004-08-31;70.0;15;8;6;1;87.03;7;7;0;0;Tecmo;Horse Racing, Sports, Alternative;1-4;E;;;;50-74;0;1
Gallop Racer 2006;PlayStation 2;Tecmo;2006-05-02;69.0;15;7;7;1;82.97;5;5;0;0;Tecmo;Horse Racing, Sports, Alternative;1-4;E;;;;50-74;0;1
Game & Wario;Wii U;Nintendo;2013-06-23;61.0;60;8;47;5;65.0;26;6;18;2;Intelligent Systems;Party, Miscellaneous, Party / Minigame;1-8;E;;;;50-74;0;1
Game & Watch Gallery 4;GBA;Nintendo;2002-10-28;71.0;14;7;6;1;81.02;3;1;2;0;Nintendo;Compilation, Miscellaneous;1-4;E;Yasuhiro Minamimoto, Hitoshi Yamagami;;;50-74;1;1
Game Dev Tycoon;PC;Greenheart Games;2013-04-28;68.0;21;6;13;2;80.0;336;221;82;33;Greenheart Games;;No Online Multiplayer;;;;;50-74;0;1
Game Party;Wii;Midway;2007-11-27;25.0;8;0;0;8;38.01;17;5;2;10;Midway;;;;;;;50-;0;1
Game Party 2;Wii;Midway;2008-10-06;29.0;7;0;0;7;46.02;2;0;0;2;Midway;Party, Compilation, Miscellaneous, Party / Minigame;1-4;E;;;;50-;0;1
Game Party 3;Wii;Warner Bros. Interactive Entertainment;2009-10-06;37.0;4;0;2;2;0.0;1;0;1;0;Farsight Studios;;;;;;;50-;0;1
Game Party Champions;Wii U;Warner Bros. Interactive Entertainment;2012-11-18;24.0;8;0;2;6;34.0;5;0;1;4;Phosphor Games Studio LLC;Party, Miscellaneous, Party / Minigame;1-4;E;;;;50-;0;1
Game Party: In Motion;Xbox 360;Warner Bros. Interactive Entertainment;2010-11-18;33.0;6;0;1;5;36.99;4;1;0;3;Farsight Studios;;;;;;;50-;0;1
Game Tycoon;PC;Tri Synergy;2006-03-22;42.0;9;1;2;6;34.0;4;1;0;3;Tri Synergy;;;;;;;50-;0;1
Game of Thrones;PlayStation 3;Atlus;2012-05-15;53.0;14;1;8;5;56.02;16;9;4;3;Cyanide, Cyanide Studios;Western-Style, General, Role-Playing;No Online Multiplayer;M;;;;50-74;0;0
Game of Thrones;PC;Atlus;2012-05-15;58.0;23;2;16;5;65.0;83;45;25;13;Cyanide, Cyanide Studios;Western-Style, General, Role-Playing;No Online Multiplayer;M;;;;50-74;0;0
Game of Thrones;Xbox 360;Atlus;2012-05-15;52.0;35;1;24;10;51.02;34;14;7;13;Cyanide, Cyanide Studios;Western-Style, General, Role-Playing;No Online Multiplayer;M;;;;50-74;0;0
Game of Thrones: A Telltale Games Series;PlayStation 4;Telltale Games;2015-11-17;69.0;7;2;4;1;65.0;39;11;22;6;Telltale Games;;;;;Meghan Thornton, Dan Martin, Brad Kane, Andrew Grant, John Dombrow, Joshua Rubin, Nicole Martinez;Jared Emerson-Johnson;50-74;0;0
Game of Thrones: A Telltale Games Series;PC;Telltale Games;2015-11-17;64.0;21;6;12;3;63.98;69;25;23;21;Telltale Games;;;;;Meghan Thornton, Dan Martin, Brad Kane, Andrew Grant, John Dombrow, Joshua Rubin, Nicole Martinez;Jared Emerson-Johnson;50-74;0;0
Game of Thrones: Episode Five - A Nest of Vipers;Xbox One;Telltale Games;2015-07-22;72.0;10;6;4;0;68.98;4;1;3;0;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Five - A Nest of Vipers;PlayStation 4;Telltale Games;2015-07-21;77.0;11;7;4;0;68.01;4;1;3;0;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Five - A Nest of Vipers;PC;Telltale Games;2015-07-21;74.0;25;15;10;0;66.99;8;2;2;4;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Four - Sons of Winter;PlayStation 4;Telltale Games;2015-05-26;73.0;15;7;8;0;71.02;4;3;1;0;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Four - Sons of Winter;PC;Telltale Games;2015-05-26;77.0;27;19;8;0;76.99;3;2;0;1;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode One - Iron From Ice;Xbox 360;Telltale Games;2014-12-03;72.0;4;3;1;0;63.98;4;2;1;1;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode One - Iron From Ice;Xbox One;Telltale Games;2014-12-03;80.0;14;11;3;0;78.98;16;12;2;2;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode One - Iron From Ice;PlayStation 4;Telltale Games;2014-12-02;77.0;18;13;5;0;73.01;22;14;7;1;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode One - Iron From Ice;PC;Telltale Games;2014-12-02;75.0;44;28;13;3;73.01;56;26;17;13;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Six - The Ice Dragon;Xbox One;Telltale Games;2015-11-17;80.0;7;5;2;0;78.01;6;1;4;1;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Six - The Ice Dragon;PlayStation 4;Telltale Games;2015-11-17;75.0;13;8;5;0;68.98;4;2;2;0;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Six - The Ice Dragon;PC;Telltale Games;2015-11-17;70.0;24;11;13;0;63.98;23;7;6;10;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Three - The Sword in the Darkness;Xbox One;Telltale Games;2015-03-25;80.0;9;8;1;0;78.01;3;2;1;0;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Three - The Sword in the Darkness;PlayStation 4;Telltale Games;2015-03-24;70.0;16;7;9;0;71.02;3;1;2;0;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Three - The Sword in the Darkness;PC;Telltale Games;2015-03-24;77.0;30;24;6;0;76.99;10;4;2;4;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Two - The Lost Lords;Xbox One;Telltale Games;2015-02-04;76.0;11;6;5;0;76.99;3;2;1;0;Telltale Games;;;;;;;75-89;0;0
Game of Thrones: Episode Two - The Lost Lords;PlayStation 4;Telltale Games;2015-02-03;69.0;16;4;11;1;68.98;7;4;3;0;Telltale Games;;;;;;;50-74;0;0
Game of Thrones: Episode Two - The Lost Lords;PC;Telltale Games;2015-02-03;73.0;35;20;15;0;76.99;15;11;3;1;Telltale Games;;;;;;;50-74;0;0
Gang Beasts;PlayStation 4;Double Fine Productions;2017-12-12;69.0;15;5;10;0;65.0;12;6;4;2;Boneloaf;Action, General, Miscellaneous, Party / Minigame;1-8;E10+;;;;50-74;0;0
Gang Wars;Playstation Portable;SNK Playmore;2012-07-24;59.0;4;0;3;1;0.0;0;0;0;0;Alpha Denshi;;;;;;;50-74;1;1
Gangland;PC;Whiptail Interactive;2004-03-04;63.0;40;10;25;5;71.99;3;1;0;2;MediaMobsters;Real-Time, Strategy, Modern, General;1-8;M;;;;50-74;0;1
Gangs of London;Playstation Portable;Sony Interactive Entertainment;2006-10-03;52.0;47;1;30;16;66.99;10;5;0;5;SCEE London Studio;Modern, Open-World, Adventure, Action Adventure, Third-Person;1-8;M;;;;50-74;1;1
Gangsters 2: Vendetta;PC;Eidos Interactive;2001-06-05;61.0;10;2;7;1;76.99;27;20;2;5;Hothouse Creations;Strategy, General;No Online Multiplayer;T;;;;50-74;0;1
Garage;Switch;tinyBuild;2018-05-10;63.0;8;2;5;1;68.01;3;2;0;1;tinyBuild;Action Adventure, Survival;No Online Multiplayer;M;;;;50-74;0;1
Gardening Mama;DS;Majesco Games;2009-03-31;60.0;17;1;12;4;73.98;2;2;0;0;Taito Corporation;;;;;;;50-74;1;1
Gardening Mama 2: Forest Friends;3DS;Majesco Games;2014-04-29;43.0;7;0;3;4;0.0;0;0;0;0;Racjin;;;;;;;50-;1;1
Garfield Gets Real;DS;DSI Games;2009-07-21;39.0;4;0;1;3;66.99;4;4;0;0;PAWS;Action Adventure, Modern, General;1-4;E;;;;50-;1;1
Garfield and His Nine Lives;GBA;The Game Factory;2006-05-10;56.0;9;2;5;2;0.0;0;0;0;0;Lucky Jump;Action, Platformer, 2D;1-4;E;;;;50-74;1;1
Garfield's Fun Fest;DS;DSI Games;2008-08-29;44.0;5;0;1;4;0.0;0;0;0;0;Black Lantern Studios;Action, Platformer, 2D;No Online Multiplayer;E;;;;50-;1;1
