title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Serious Sam Double D XXL;Xbox 360;Mastertronic;2013-02-20;68.0;24;7;14;3;55.0;1;1;0;0;Mommy's Best Games;Shooter, Action, Arcade, Sci-Fi, Third-Person;No Online Multiplayer;M;;;;50-74;0;1
Serious Sam HD: The First Encounter;Xbox 360;Majesco Games;2010-01-13;69.0;33;9;24;0;87.03;5;5;0;0;Croteam;;;;;;;50-74;0;0
Serious Sam HD: The First Encounter;PC;Devolver Digital;2009-11-24;68.0;35;12;22;1;81.02;42;28;11;3;Croteam;;;;;;;50-74;0;0
Serious Sam HD: The Second Encounter;Xbox 360;Majesco Games;2010-09-22;72.0;8;4;4;0;71.02;1;1;0;0;Croteam;;;;;;;50-74;0;0
Serious Sam HD: The Second Encounter;PC;Devolver Digital;2010-04-28;76.0;20;11;9;0;80.0;24;16;3;5;Croteam;;;;;;;75-89;0;0
Serious Sam II;PC;2K Games;2005-10-19;74.0;31;16;15;0;70.0;34;15;14;5;Croteam;Shooter, Action, Arcade, Sci-Fi, First-Person;1-16;M;;;;50-74;0;0
Serious Sam II;Xbox;2K Games;2005-10-11;72.0;34;17;16;1;63.01;3;2;0;1;Croteam;Shooter, Action, Sci-Fi, First-Person;1-4;M;;;;50-74;0;0
Serious Sam's Bogus Detour;PC;Devolver Digital;2017-06-20;76.0;12;8;4;0;82.03;1;1;0;0;Crackshell;;Online Multiplayer;;;;;75-89;0;1
Serious Sam: Next Encounter;Gamecube;Global Star Software;2004-04-12;69.0;18;5;13;0;83.98;4;3;0;1;Climax Group;Shooter, Action, Sci-Fi, First-Person;1-4;M;;;;50-74;0;0
Serious Sam: Next Encounter;PlayStation 2;Global Star Software;2004-04-22;65.0;27;6;19;2;76.99;11;10;1;0;Climax Group;Shooter, Action, Sci-Fi, First-Person;1-8;M;;;;50-74;0;0
Serious Sam: The First Encounter;PC;Gathering;2001-03-21;87.0;31;27;3;1;83.98;40;32;5;3;Croteam;Shooter, Action, Arcade, Sci-Fi, First-Person;1-16;M;;;;75-89;0;1
Serious Sam: The Random Encounter;PC;Devolver Digital;2011-10-24;64.0;11;2;8;1;63.98;9;5;0;4;Croteam, Vlambeer;;;;;;;50-74;0;1
Serious Sam: The Second Encounter;PC;Gathering;2002-02-04;85.0;22;21;0;1;86.02;22;19;2;1;Croteam;Shooter, Action, Arcade, Sci-Fi, First-Person;1-32;M;;;;75-89;0;1
Serpent in the Staglands;PC;Whalenought Studios LLC;2015-05-28;75.0;5;2;3;0;73.01;7;5;1;1;Whalenought Studios LLC;;;;;;;75-89;0;1
Sesame Street: Once Upon a Monster;Xbox 360;Warner Bros. Interactive Entertainment;2011-10-11;79.0;26;21;5;0;68.98;4;3;0;1;Double Fine Productions;3D, Edutainment, Miscellaneous, Adventure, Fantasy, Third-Person;1-4;E;;;;75-89;0;1
Seven Games of the Soul;PC;Cryo Interactive;2000-11-30;52.0;7;3;1;3;0.0;0;0;0;0;Arxel Tribe;Adventure, General;No Online Multiplayer;M;;;;50-74;0;1
Seven Kingdoms: Conquest;PC;Enlight Software;2007-10-15;38.0;14;0;3;11;40.0;4;0;0;4;Enlight Software, Infinite Interactive;Command, Real-Time, Strategy, Historic;1-4;T;;;;50-;0;1
Seven Samurai 20XX;PlayStation 2;Sammy Studios;2004-03-12;52.0;31;2;19;10;70.0;3;2;0;1;Dimps Corporation;Beat-'Em-Up, Action;No Online Multiplayer;T;;;;50-74;0;1
Seven: The Days Long Gone;PC;IMGN.PRO;2017-12-01;68.0;35;13;19;3;71.99;10;6;3;1;IMGN.PRO;;No Online Multiplayer;;;;;50-74;0;1
Severed;Switch;DrinkBox Studios;2017-08-08;87.0;6;6;0;0;76.02;5;3;1;1;DrinkBox Studios;Action Adventure, General;No Online Multiplayer;T;;;;75-89;0;0
Severed;Wii U;DrinkBox Studios;2016-09-22;83.0;8;6;2;0;83.98;1;1;0;0;DrinkBox Studios;;;;;;;75-89;0;0
Sexy Poker;Wii;Gameloft;2009-08-03;35.0;6;0;1;5;40.0;2;0;1;1;Gameloft;Parlor, Gambling, Miscellaneous;No Online Multiplayer;M;;;;50-;0;1
