title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Namco Museum 50th Anniversary;;Namco;Aug 30, 2005;60;23;5;16;2;tbd;2;1;1;0;Backbone Vancouver;Miscellaneous, Compilation;1-2;E10+;;;;https://www.metacritic.com/game/gamecube/namco-museum-50th-anniversary
Mario Superstar Baseball;;Nintendo;Aug 29, 2005;76;38;24;14;0;8.7;19;14;4;1;Namco;Sports, Traditional, Baseball, Arcade;1-4;E;Hideki Tomida;;;https://www.metacritic.com/game/gamecube/mario-superstar-baseball
WWE Day of Reckoning 2;;THQ;Aug 29, 2005;76;36;26;9;1;6.1;10;7;1;2;Yuke's;Action, Fighting, Wrestling;1-4;T;;;;https://www.metacritic.com/game/gamecube/wwe-day-of-reckoning-2
The Incredible Hulk: Ultimate Destruction;;VU Games;Aug 23, 2005;84;30;29;1;0;7.9;7;7;0;0;Radical Entertainment;Action Adventure, Sci-Fi;1 Player;T;;;;https://www.metacritic.com/game/gamecube/the-incredible-hulk-ultimate-destruction
Hello Kitty: Roller Rescue;;Namco;Aug 16, 2005;64;14;4;9;1;7.6;7;6;0;1;Xpec;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/gamecube/hello-kitty-roller-rescue
Sonic Gems Collection;;Sega;Aug 16, 2005;64;32;7;23;2;8.2;16;14;2;0;Sonic Team;Miscellaneous, Compilation;1-4;E;Mizuki Hosoyamanda;;;https://www.metacritic.com/game/gamecube/sonic-gems-collection
Geist;;Nintendo;Aug 15, 2005;66;43;16;25;2;8.1;11;9;1;1;n-Space;Action, Shooter, First-Person, Sci-Fi;1-4;M;;;;https://www.metacritic.com/game/gamecube/geist
Madden NFL 06;;EA Sports;Aug  8, 2005;86;21;21;0;0;7.8;8;6;1;1;EA Sports;Sports, Traditional, Football, Sim;4  Online;E;;;;https://www.metacritic.com/game/gamecube/madden-nfl-06
Harvest Moon: Another Wonderful Life;;Natsume;Jul 26, 2005;70;12;7;4;1;8.5;46;44;0;2;Marvelous;Role-Playing, Console-style RPG;1 Player;E;;;;https://www.metacritic.com/game/gamecube/harvest-moon-another-wonderful-life
Charlie and the Chocolate Factory;;Global Star Software;Jul 11, 2005;39;16;0;4;12;3.2;3;1;0;2;High Voltage Software, Backbone Entertainment;Action Adventure, Modern;1 Player;E;;;;https://www.metacritic.com/game/gamecube/charlie-and-the-chocolate-factory
Killer7;;Capcom;Jul  7, 2005;74;57;38;14;5;8.6;36;32;3;1;Grasshopper Manufacture;Action Adventure, Modern;1 Player;M;Goichi Suda;;;https://www.metacritic.com/game/gamecube/killer7
Fantastic 4;;Activision;Jun 27, 2005;61;32;5;23;4;4.0;3;0;1;2;7 Studios;Action, Beat-'Em-Up;1-2;T;;;;https://www.metacritic.com/game/gamecube/fantastic-4
Batman Begins;;EA Games;Jun 14, 2005;66;38;9;27;2;7.3;10;6;1;3;Eurocom Entertainment Software;Action, Beat-'Em-Up;1 Player;T;;;;https://www.metacritic.com/game/gamecube/batman-begins
Medal of Honor: European Assault;;Electronic Arts;Jun  7, 2005;71;22;13;7;2;7.9;4;3;0;1;EA LA;Action, Shooter, First-Person, Historic;1-4;T;;;;https://www.metacritic.com/game/gamecube/medal-of-honor-european-assault
Digimon World 4;;Bandai;Jun  1, 2005;55;4;0;3;1;8.1;9;6;1;2;Bandai;Role-Playing, Console-style RPG;1-4;E;;;;https://www.metacritic.com/game/gamecube/digimon-world-4
Madagascar;;Activision;May 24, 2005;70;21;10;10;1;tbd;3;3;0;0;Toys for Bob;Action, Platformer, 3D;1-4;E10+;;;;https://www.metacritic.com/game/gamecube/madagascar
Donkey Konga 2;;Nintendo;May  9, 2005;69;30;11;18;1;6.0;4;2;1;1;Namco;Miscellaneous, Rhythm, Music;1-4;T;;;;https://www.metacritic.com/game/gamecube/donkey-konga-2
Tom Clancy's Splinter Cell Chaos Theory;;Ubisoft;Mar 31, 2005;81;28;23;5;0;8.1;8;6;2;0;Ubisoft Montreal;Action Adventure, Modern;1-2;M;;;;https://www.metacritic.com/game/gamecube/tom-clancys-splinter-cell-chaos-theory
Dragon Ball Z: Sagas;;Atari;Mar 22, 2005;48;11;0;4;7;6.0;9;4;2;3;Avalanche Software;Action, Beat-'Em-Up;1-2;T;;;;https://www.metacritic.com/game/gamecube/dragon-ball-z-sagas
TimeSplitters: Future Perfect;;EA Games;Mar 21, 2005;82;32;29;3;0;8.5;23;20;2;1;Free Radical Design;Action, Shooter, First-Person, Sci-Fi;1-4;M;Steve Ellis, Dave Doak;;;https://www.metacritic.com/game/gamecube/timesplitters-future-perfect
Strike Force Bowling;;Crave;Mar 20, 2005;47;4;0;2;2;tbd;2;0;0;2;Crave;Sports, Alternative, Bowling;1-4;E;;;;https://www.metacritic.com/game/gamecube/strike-force-bowling
Pinball Hall of Fame - The Gottlieb Collection;;Crave;Mar 20, 2005;64;5;2;3;0;tbd;2;2;0;0;Farsight Studios;Miscellaneous, Parlor, Pinball;1-4;E;;;;https://www.metacritic.com/game/gamecube/pinball-hall-of-fame---the-gottlieb-collection
TMNT: Mutant Melee;;Konami;Mar 16, 2005;44;16;0;8;8;5.2;5;2;0;3;Konami Computer Entertainment Hawaii;Action, Fighting, 3D;2  Online;T;;;;https://www.metacritic.com/game/gamecube/tmnt-mutant-melee
Tom Clancy's Ghost Recon 2;;Ubisoft;Mar 15, 2005;54;10;0;8;2;1.4;0;0;0;0;Ubisoft Shanghai;Action, Shooter, First-Person, Tactical, Modern;1 Player;T;;;;https://www.metacritic.com/game/gamecube/tom-clancys-ghost-recon-2
Room Zoom;;Jaleco Entertainment;Mar 15, 2005;;;;;;tbd;;;;;Blade Interactive;Driving, Racing, Arcade;1-4;E;;;;https://www.metacritic.com/game/gamecube/room-zoom
Donkey Kong Jungle Beat;;Nintendo;Mar 14, 2005;80;49;41;8;0;8.1;14;12;1;1;Nintendo;Action, Platformer, 2D;1 Player;E10+;Yoshiaki Koizumi;;;https://www.metacritic.com/game/gamecube/donkey-kong-jungle-beat
Rave Master;;Konami;Mar  8, 2005;60;15;2;12;1;6.3;2;2;0;0;Konami;Action, Fighting, 3D;1-4;T;;;;https://www.metacritic.com/game/gamecube/rave-master
Judge Dredd: Dredd VS Death;;Evolved Games;Mar  1, 2005;56;11;2;8;1;tbd;2;1;1;0;Rebellion;Action, Shooter, First-Person, Sci-Fi;1-4;M;;;;https://www.metacritic.com/game/gamecube/judge-dredd-dredd-vs-death
Mortal Kombat: Deception;;Midway;Mar  1, 2005;77;14;10;3;1;8.8;5;4;0;1;Midway;Action, Fighting, 3D;1-2;M;;;;https://www.metacritic.com/game/gamecube/mortal-kombat-deception
Fight Night Round 2;;EA Sports;Feb 28, 2005;87;32;31;1;0;8.1;4;4;0;0;EA Sports;Sports, Traditional, Boxing;2  Online;T;;;;https://www.metacritic.com/game/gamecube/fight-night-round-2
Robots;;VU Games;Feb 24, 2005;56;4;0;3;1;tbd;1;0;1;0;Eurocom Entertainment Software;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/robots
MVP Baseball 2005;;EA Sports;Feb 22, 2005;88;20;20;0;0;7.7;4;4;0;0;EA Sports;Sports, Traditional, Baseball, Sim;1-2;E;;;;https://www.metacritic.com/game/gamecube/mvp-baseball-2005
Star Fox: Assault;;Nintendo;Feb 14, 2005;67;59;21;35;3;8.1;50;31;13;6;Namco;Action, Shooter, Third-Person, Sci-Fi;1-4;T;;;;https://www.metacritic.com/game/gamecube/star-fox-assault
NBA Street V3;;EA Sports Big;Feb  8, 2005;88;36;34;2;0;7.9;9;7;0;2;EA Canada;Sports, Traditional, Basketball, Arcade;1-6;E;;;;https://www.metacritic.com/game/gamecube/nba-street-v3
Winnie the Pooh's Rumbly Tumbly Adventure;;Ubisoft;Feb  8, 2005;59;7;1;5;1;tbd;0;0;0;0;Phoenix Games Studio;Action, Platformer, 3D;1-2;E;;;;https://www.metacritic.com/game/gamecube/winnie-the-poohs-rumbly-tumbly-adventure
Virtua Quest;;Sega;Jan 19, 2005;55;19;0;13;6;5.5;8;1;2;5;Artificial Mind and Movement;Role-Playing, Action RPG;1 Player;T;;;;https://www.metacritic.com/game/gamecube/virtua-quest
Resident Evil 4;;Capcom;Jan 11, 2005;96;82;82;0;0;9.3;366;353;8;5;Capcom;Action Adventure, Horror;1 Player;M;;;;https://www.metacritic.com/game/gamecube/resident-evil-4
NFL Street 2;;EA Sports Big;Dec 22, 2004;77;24;16;8;0;7.6;1;1;0;0;EA Tiburon;Sports, Traditional, Football, Arcade;1-4;E;;;;https://www.metacritic.com/game/gamecube/nfl-street-2
Dragon Ball Z: Budokai 2;;Atari;Dec 15, 2004;66;9;3;6;0;6.3;7;4;0;3;Pyramid;Action, Fighting, 3D;1-2;T;;;;https://www.metacritic.com/game/gamecube/dragon-ball-z-budokai-2
Cabela's Big Game Hunter 2005 Adventures;;Activision Value;Dec  9, 2004;;;;;;8.8;6;6;0;0;MagicWand;Sports, Nature, Hunting;1-2;T;;;;https://www.metacritic.com/game/gamecube/cabelas-big-game-hunter-2005-adventures
Mario Party 6;;Nintendo;Dec  6, 2004;71;33;12;20;1;8.1;22;17;3;2;Hudson Soft;Miscellaneous, Party;1-4;E;;;;https://www.metacritic.com/game/gamecube/mario-party-6
Prince of Persia: Warrior Within;;Ubisoft;Nov 30, 2004;83;31;26;4;1;7.9;10;8;1;1;Ubisoft;Action Adventure, Fantasy;1 Player;M;;Corey May, M. Dooma Wendschuh;;https://www.metacritic.com/game/gamecube/prince-of-persia-warrior-within
Alien Hominid;;O3 Entertainment;Nov 23, 2004;78;28;22;6;0;8.2;6;5;1;0;The Behemoth;Action, Shooter, Scrolling;1-4;T;;;;https://www.metacritic.com/game/gamecube/alien-hominid
MC Groovz Dance Craze;;Mad Catz;Nov 22, 2004;42;8;3;2;3;6.8;8;5;0;3;Mad Catz;Miscellaneous, Rhythm, Dancing;1-2;E;;;;https://www.metacritic.com/game/gamecube/mc-groovz-dance-craze
GoldenEye: Rogue Agent;;EA Games;Nov 22, 2004;60;35;6;22;7;6.7;9;3;3;3;EA LA;Action, Shooter, First-Person, Modern;2  Online;T;;;;https://www.metacritic.com/game/gamecube/goldeneye-rogue-agent
Viewtiful Joe 2;;Capcom;Nov 18, 2004;86;39;37;2;0;8.3;7;6;1;0;Clover Studio;Action, Beat-'Em-Up;1 Player;T;Masaaki Yamada;;Masami Ueda, Sayaka Morita;https://www.metacritic.com/game/gamecube/viewtiful-joe-2
King Arthur;;Konami;Nov 18, 2004;60;14;1;10;3;tbd;0;0;0;0;Krome Studios;Action Adventure, Fantasy;1-2;T;;;;https://www.metacritic.com/game/gamecube/king-arthur
Scaler;;Global Star Software;Nov 17, 2004;69;11;3;7;1;7.3;4;2;1;1;Artificial Mind and Movement;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/scaler
Baten Kaitos: Eternal Wings and the Lost Ocean;;Namco;Nov 16, 2004;80;48;39;8;1;8.4;24;19;3;2;Monolith Soft;Role-Playing, Console-style RPG;1 Player;T;;Masato Kato, Masato Kato;;https://www.metacritic.com/game/gamecube/baten-kaitos-eternal-wings-and-the-lost-ocean
Call of Duty: Finest Hour;;Activision;Nov 16, 2004;74;31;16;15;0;8.7;5;4;1;0;Exakt;Action, Shooter, First-Person, Historic;1 Player;T;;;;https://www.metacritic.com/game/gamecube/call-of-duty-finest-hour
Metroid Prime 2: Echoes;;Nintendo;Nov 15, 2004;92;60;60;0;0;8.9;102;89;6;7;Retro Studios;Action, Shooter, First-Person, Sci-Fi;1-4;T;;;;https://www.metacritic.com/game/gamecube/metroid-prime-2-echoes
The Urbz: Sims in the City;;EA Games;Nov  9, 2004;73;19;9;10;0;8.4;8;5;3;0;Maxis;Miscellaneous, Virtual Life;1-2;T;;;;https://www.metacritic.com/game/gamecube/the-urbz-sims-in-the-city
Mario Power Tennis;;Nintendo;Nov  8, 2004;80;43;37;6;0;8.5;15;10;4;1;Camelot Software Planning;Sports, Traditional, Tennis;1-4;E;Haruki Kodera;;;https://www.metacritic.com/game/gamecube/mario-power-tennis
Intellivision Lives!;;Crave;Nov  4, 2004;61;5;0;4;1;tbd;2;1;0;1;Realtime Associates;Miscellaneous, Compilation;1-6;E;;;;https://www.metacritic.com/game/gamecube/intellivision-lives!
Spyro: A Hero's Tail;;VU Games;Nov  3, 2004;62;13;1;10;2;7.9;3;2;1;0;Eurocom Entertainment Software;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/spyro-a-heros-tail
Army Men: RTS;;Global Star Software;Nov  2, 2004;;;;;;8.5;2;2;0;0;Pandemic Studios;Strategy, General;1 Player;T;;;;https://www.metacritic.com/game/gamecube/army-men-rts
