title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
V.I.P.;;Ubisoft;Apr  1, 2001;33;5;1;0;4;5.2;4;3;0;1;Ubisoft Shanghai;;;;Jean-Michel Tari;;;https://www.metacritic.com/game/playstation/vip
MTV Sports: T.J. Lavin's Ultimate BMX;;THQ;Mar 27, 2001;47;8;1;3;4;tbd;1;0;0;1;Blue Shift;;;;;;;https://www.metacritic.com/game/playstation/mtv-sports-tj-lavins-ultimate-bmx
Strikers 1945;;Agetec Inc.;Mar 27, 2001;63;5;1;4;0;8.2;2;2;0;0;Psikyo;Action, Shooter, Scrolling;1-2;E;;;;https://www.metacritic.com/game/playstation/strikers-1945
Disney's Aladdin in Nasira's Revenge;;SCEA;Mar 15, 2001;61;11;2;8;1;6.7;2;0;2;0;Argonaut Games;Action, General;1 Player;E;;;;https://www.metacritic.com/game/playstation/disneys-aladdin-in-nasiras-revenge
High Heat Major League Baseball 2002;;3DO;Mar 14, 2001;66;6;2;3;1;tbd;1;0;1;0;3DO;;;;;;;https://www.metacritic.com/game/playstation/high-heat-major-league-baseball-2002
Triple Play Baseball;;EA Sports;Mar 12, 2001;76;8;4;4;0;8.3;3;2;1;0;EA Sports;;;;;;;https://www.metacritic.com/game/playstation/triple-play-baseball
Ford Racing;;Empire Interactive;Mar  6, 2001;53;4;1;1;2;5.8;3;2;0;1;Toolbox Design;Driving, Racing, GT / Street;1-2;E;;;;https://www.metacritic.com/game/playstation/ford-racing
Toy Story Racer;;Activision;Mar  5, 2001;76;8;5;3;0;8.3;4;3;1;0;Traveller's Tales;;;;;;;https://www.metacritic.com/game/playstation/toy-story-racer
Fear Effect 2: Retro Helix;;Eidos Interactive;Feb 21, 2001;84;15;13;1;1;8.2;4;3;0;1;Kronos Digital Entertainment;Action Adventure, Horror;1 Player;M;;;;https://www.metacritic.com/game/playstation/fear-effect-2-retro-helix
NBA Hoopz;;Midway;Feb 12, 2001;;;;;;tbd;1;1;0;0;Eurocom Entertainment Software;;;;;;;https://www.metacritic.com/game/playstation/nba-hoopz
