title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
The Lost Child;PlayStation Vita;NIS America;Jun 19, 2018;;;;;;tbd;;;;;Kadokawa;;;;;;;https://www.metacritic.com/game/playstation-vita/the-lost-child
Muv-Luv Alternative;PlayStation Vita;5pb;Jun 12, 2018;;;;;;tbd;2;2;0;0;5pb;;;;;;;https://www.metacritic.com/game/playstation-vita/muv-luv-alternative
Muv-Luv;PlayStation Vita;5pb;Jun 12, 2018;77;4;3;1;0;tbd;1;1;0;0;5pb;;;;;;;https://www.metacritic.com/game/playstation-vita/muv-luv
Riddled Corpses EX;PlayStation Vita;COWCAT;Jun  5, 2018;;;;;;9.8;1;1;0;0;COWCAT;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/riddled-corpses-ex
Defender's Quest: Valley of the Forgotten DX Edition;PlayStation Vita;Level Up Labs;May 29, 2018;;;;;;tbd;;;;;Level Up Labs;Strategy, Real-Time, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/defenders-quest-valley-of-the-forgotten-dx-edition
7'scarlet;PlayStation Vita;Aksys Games;May 25, 2018;;;;;;tbd;0;0;0;0;Otomate;Adventure, Visual Novel;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/7scarlet
Bloodstained: Curse of the Moon;PlayStation Vita;Inti Creates;May 24, 2018;;;;;;8.2;0;0;0;0;Inti Creates;Action Adventure, Open-World;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/bloodstained-curse-of-the-moon
Stardew Valley;PlayStation Vita;Chucklefish;May 22, 2018;;;;;;7.0;4;4;0;0;ConcernedApe;Role-Playing, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/stardew-valley
Dead Ahead: Zombie Warfare;PlayStation Vita;Mobirate Studio Ltd;May  8, 2018;;;;;;tbd;1;0;0;1;Mobirate Studio Ltd;Strategy, Real-Time, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/dead-ahead-zombie-warfare
InkSplosion;PlayStation Vita;Petite Games;May  8, 2018;;;;;;tbd;0;0;0;0;Petite Games;Miscellaneous, Party / Minigame;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/inksplosion
Psychedelica of the Black Butterfly;PlayStation Vita;Aksys Games;Apr 27, 2018;79;4;4;0;0;tbd;0;0;0;0;Otomate;Adventure, Visual Novel;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/psychedelica-of-the-black-butterfly
Cosmic Star Heroine;PlayStation Vita;Zeboyd Games;Apr 24, 2018;;;;;;tbd;0;0;0;0;Zeboyd Games;Console-style RPG, Console-style RPG, Role-Playing, Japanese-Style;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/cosmic-star-heroine
Devious Dungeon;PlayStation Vita;Noodlecake Studios Inc;Apr 24, 2018;;;;;;tbd;1;0;1;0;Noodlecake Studios Inc;Action, Platformer, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/devious-dungeon
Pic-a-Pix Color;PlayStation Vita;Lightwood Games;Apr 24, 2018;;;;;;tbd;;;;;Lightwood Games;Puzzle, Logic;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/pic-a-pix-color
Dragooned;PlayStation Vita;Dragoon Entertainment Ltd.;Apr 17, 2018;;;;;;tbd;;;;;Dragoon Entertainment Ltd.;Action, Platformer, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/dragooned
Rogue Aces;PlayStation Vita;Curve Digital;Apr 12, 2018;;;;;;10;1;1;0;0;Infinite State Games;Action, Shooter, Shoot-'Em-Up, Horizontal;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/rogue-aces
Deep Ones;PlayStation Vita;Sometimes You;Apr 11, 2018;;;;;;tbd;1;0;1;0;Sometimes You;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/deep-ones
League of Evil;PlayStation Vita;Ravenous Games;Apr 11, 2018;;;;;;tbd;1;0;1;0;Ravenous Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/league-of-evil
Bunny Must Die: Chelsea and the 7 Devils;PlayStation Vita;Mediascape;Apr  5, 2018;;;;;;tbd;0;0;0;0;Platine Dispositif;;;;;;;https://www.metacritic.com/game/playstation-vita/bunny-must-die-chelsea-and-the-7-devils
Metropolis: Lux Obscura;PlayStation Vita;Ktulhu Solutions;Apr  4, 2018;;;;;;tbd;1;0;0;1;Ktulhu Solutions;Puzzle, Matching;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-vita/metropolis-lux-obscura
Penny-Punching Princess;PlayStation Vita;NIS America;Apr  3, 2018;;;;;;tbd;0;0;0;0;Nippon Ichi Software;;;;;;;https://www.metacritic.com/game/playstation-vita/penny-punching-princess
Sir Eatsalot;PlayStation Vita;EastAsiaSoft;Apr  3, 2018;;;;;;9.0;4;4;0;0;Deisling & Rider GbR;Action, Platformer, 2D;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/sir-eatsalot
The King of Fighters '97: Global Match;PlayStation Vita;SNK Corporation;Apr  3, 2018;;;;;;tbd;;;;;Code Mystics Inc., SNK Corporation;Action, Fighting, 2D;2;T;;;;https://www.metacritic.com/game/playstation-vita/the-king-of-fighters-97-global-match
Code:Realize - Future Blessings;PlayStation Vita;Idea Factory;Mar 30, 2018;;;;;;tbd;1;1;0;0;Otomate;;;;;;;https://www.metacritic.com/game/playstation-vita/coderealize---future-blessings
Reverie;PlayStation Vita;SCEE;Mar 29, 2018;73;4;1;3;0;7.4;5;2;3;0;Rainbite;Action Adventure, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/reverie
Bit Dungeon+;PlayStation Vita;Hidden Trap;Mar 27, 2018;;;;;;tbd;;;;;Cosen;Action Adventure, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/bit-dungeon+
NeuroVoider;PlayStation Vita;Plug In Digital;Mar 20, 2018;;;;;;tbd;;;;;Plug In Digital;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/neurovoider
Hakuoki: Edo Blossoms;PlayStation Vita;Idea Factory;Mar 13, 2018;75;9;5;4;0;6.0;1;1;0;0;Otomate;;;;;;;https://www.metacritic.com/game/playstation-vita/hakuoki-edo-blossoms
Root Double: Before Crime * After Days - Xtend Edition;PlayStation Vita;Yeti;Mar 13, 2018;;;;;;tbd;0;0;0;0;Yeti;;;;Takumi Nakazawa;;Takuma Sato;https://www.metacritic.com/game/playstation-vita/root-double-before-crime-after-days---xtend-edition
One Eyed Kutkh;PlayStation Vita;Baba Yaga Games;Mar  9, 2018;;;;;;tbd;;;;;Baba Yaga Games;Adventure, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/one-eyed-kutkh
Damascus Gear: Operation Osaka;PlayStation Vita;Arc System Works;Mar  7, 2018;;;;;;tbd;;;;;Arc System Works;;;;;;;https://www.metacritic.com/game/playstation-vita/damascus-gear-operation-osaka
Midnight Deluxe;PlayStation Vita;Ratalaika Games;Mar  6, 2018;;;;;;tbd;0;0;0;0;Petite Games;Puzzle, Action;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/midnight-deluxe
NORTH;PlayStation Vita;Outlands;Mar  6, 2018;;;;;;tbd;1;1;0;0;Outlands;Adventure, 3D, First-Person;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/north
Little Adventure on the Prairie;PlayStation Vita;Infinite Madaa;Feb 22, 2018;;;;;;tbd;0;0;0;0;Infinite Madaa;Action, Platformer, 2D;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/little-adventure-on-the-prairie
DEADBOLT;PlayStation Vita;Hopoo Games;Feb 20, 2018;;;;;;tbd;1;1;0;0;Code Mystics Inc., Hopoo Games;Action, Platformer, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/deadbolt
Secret of Mana;PlayStation Vita;Square Enix;Feb 15, 2018;;;;;;8.2;1;1;0;0;Square Enix, Q Studios;Role-Playing, Action RPG;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/secret-of-mana
The Longest Five Minutes;PlayStation Vita;NIS America;Feb 13, 2018;;;;;;tbd;1;0;0;1;Nippon Ichi Software;;;;;;;https://www.metacritic.com/game/playstation-vita/the-longest-five-minutes
Under Night In-Birth Exe:Late[st];PlayStation Vita;Arc System Works;Feb  9, 2018;;;;;;tbd;0;0;0;0;French-Bread;Action, Fighting, 2D;Up to 8;T;;;;https://www.metacritic.com/game/playstation-vita/under-night-in-birth-exelatest
Mercenary Kings: Reloaded Edition;PlayStation Vita;Tribute Games;Feb  6, 2018;;;;;;tbd;2;2;0;0;Tribute Games;Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal;Up to 4;T;;;;https://www.metacritic.com/game/playstation-vita/mercenary-kings-reloaded-edition
Dragon Sinker;PlayStation Vita;Kemco;Feb  6, 2018;;;;;;tbd;;;;;EXE Create;Role-Playing, Japanese-Style;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-vita/dragon-sinker
Time Recoil;PlayStation Vita;10tons;Jan 30, 2018;;;;;;tbd;1;1;0;0;10tons;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/time-recoil
Iconoclasts;PlayStation Vita;Joakim Sandberg;Jan 23, 2018;;;;;;8.0;3;3;0;0;Joakim Sandberg, Konjak;Action Adventure, Open-World;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/iconoclasts
