title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Rayman Raving Rabbids;GBA;Ubisoft;Nov 14, 2006;;;;;;6.6;1.0;1.0;0.0;0.0;Ubisoft Montpellier;Action, Platformer, 2D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/rayman-raving-rabbids
Polarium Advance;GBA;Atlus Co.;Nov 13, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Mitchell;Miscellaneous, Puzzle, General;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/polarium-advance
Tony Hawk's Downhill Jam;GBA;Activision;Nov  7, 2006;;;;;;tbd;1.0;0.0;1.0;0.0;Visual Impact;Sports, Alternative, Skateboarding;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/tony-hawks-downhill-jam
The Sims 2: Pets;GBA;EA Games;Nov  7, 2006;;;;;;8.3;2.0;2.0;0.0;0.0;Maxis;Miscellaneous, Virtual Life;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/the-sims-2-pets
Final Fantasy V Advance;GBA;Nintendo;Nov  6, 2006;83.0;25.0;21.0;4.0;0.0;8.2;9.0;7.0;2.0;0.0;TOSE;Role-Playing, Console-style RPG;1 Player;E;Ryuma Nuno;;Hiroshi Nakajima, Ryoue Takagi, Noriko Ishida, Eri Yasuda, Shingo Kataoka;https://www.metacritic.com/game/game-boy-advance/final-fantasy-v-advance
Foster's Home for Imaginary Friends;GBA;Crave;Nov  3, 2006;;;;;;tbd;1.0;0.0;0.0;1.0;Collision Studios;;;;;;;https://www.metacritic.com/game/game-boy-advance/fosters-home-for-imaginary-friends
Scurge: Hive;GBA;SouthPeak Games;Oct 31, 2006;76.0;5.0;4.0;1.0;0.0;8.6;0.0;0.0;0.0;0.0;Orbital Media, Inc.;Action Adventure, Fantasy;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/scurge-hive
The Grim Adventures of Billy & Mandy;GBA;Midway;Oct 31, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Full Fat;Action, Beat-'Em-Up;1-4;E10+;;;;https://www.metacritic.com/game/game-boy-advance/the-grim-adventures-of-billy-mandy
Need for Speed Carbon: Own the City;GBA;EA Games;Oct 31, 2006;;;;;;9.0;0.0;0.0;0.0;0.0;EA Canada;Driving, Racing, GT / Street;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/need-for-speed-carbon-own-the-city
Juka and the Monophonic Menace;GBA;SouthPeak Games;Oct 24, 2006;66.0;15.0;5.0;8.0;2.0;tbd;0.0;0.0;0.0;0.0;Orbital Media, Inc.;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/juka-and-the-monophonic-menace
Flushed Away;GBA;D3;Oct 24, 2006;;;;;;tbd;1.0;1.0;0.0;0.0;Altron;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/flushed-away
Nicktoons: Battle for Volcano Island;GBA;THQ;Oct 24, 2006;69.0;6.0;1.0;5.0;0.0;6.6;2.0;2.0;0.0;0.0;Halfbrick Studios;Action, General;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/nicktoons-battle-for-volcano-island
Marvel: Ultimate Alliance;GBA;Activision;Oct 24, 2006;;;;;;7.1;6.0;4.0;0.0;2.0;Barking Lizards;Role-Playing, Action RPG;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/marvel-ultimate-alliance
Teen Titans 2;GBA;Majesco Games;Oct 23, 2006;;;;;;tbd;2.0;1.0;1.0;0.0;Artificial Mind and Movement;Action Adventure, Modern;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/teen-titans-2
The Santa Clause 3: The Escape Clause;GBA;Buena Vista Games;Oct 19, 2006;;;;;;tbd;;;;;1st Playable Productions;;;;;;;https://www.metacritic.com/game/game-boy-advance/the-santa-clause-3-the-escape-clause
Summon Night: Swordcraft Story 2;GBA;Atlus Co.;Oct 17, 2006;79.0;10.0;7.0;3.0;0.0;8.6;1.0;1.0;0.0;0.0;Flight-Plan;Role-Playing, Action RPG;1-2;T;Takayuki Kinoshita, Hirokazu Kawase;;;https://www.metacritic.com/game/game-boy-advance/summon-night-swordcraft-story-2
Justice League Heroes: The Flash;GBA;Warner Bros. Interactive Entertainment;Oct 17, 2006;72.0;8.0;5.0;2.0;1.0;7.4;4.0;1.0;2.0;1.0;WayForward;Action, Beat-'Em-Up;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/justice-league-heroes-the-flash
Noddy: A Day in Toyland;GBA;The Game Factory;Oct 16, 2006;72.0;5.0;3.0;1.0;1.0;tbd;1.0;1.0;0.0;0.0;Lucky Jump;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/noddy-a-day-in-toyland
SpongeBob SquarePants: Creature from the Krusty Krab;GBA;THQ;Oct 16, 2006;;;;;;5.0;1.0;1.0;0.0;0.0;WayForward;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/spongebob-squarepants-creature-from-the-krusty-krab
Family Feud;GBA;Global Star Software;Oct 12, 2006;;;;;;tbd;;;;;Atomic Planet Entertainment;Miscellaneous, Trivia / Game Show;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/family-feud
Disney's American Dragon: Jake Long, Rise of the Huntsclan;GBA;Buena Vista Games;Oct 12, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;WayForward;Action, General;4  Online;E10+;;;;https://www.metacritic.com/game/game-boy-advance/disneys-american-dragon-jake-long-rise-of-the-huntsclan
The Legend of Spyro: A New Beginning;GBA;Sierra Entertainment;Oct 10, 2006;44.0;4.0;0.0;2.0;2.0;6.6;1.0;0.0;1.0;0.0;Krome Studios;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/the-legend-of-spyro-a-new-beginning
Avatar: The Last Airbender;GBA;THQ;Oct 10, 2006;64.0;4.0;0.0;4.0;0.0;8.6;3.0;2.0;1.0;0.0;AWE Games;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/avatar-the-last-airbender
Over the Hedge: Hammy Goes Nuts;GBA;Activision;Oct 10, 2006;62.0;4.0;0.0;4.0;0.0;tbd;;;;;Vicarious Visions;;;;;;;https://www.metacritic.com/game/game-boy-advance/over-the-hedge-hammy-goes-nuts
Naruto: Ninja Council 2;GBA;D3;Oct  4, 2006;55.0;13.0;1.0;8.0;4.0;7.9;5.0;3.0;1.0;1.0;Aspect;Action, Beat-'Em-Up;1-4;E10+;;;;https://www.metacritic.com/game/game-boy-advance/naruto-ninja-council-2
FIFA 07 Soccer;GBA;EA Sports;Oct  3, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;EA Sports;Sports, Traditional, Soccer, Sim;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/fifa-07-soccer
Alex Rider: Stormbreaker;GBA;THQ;Oct  2, 2006;37.0;4.0;0.0;0.0;4.0;3.5;1.0;0.0;0.0;1.0;Razorback Developments;Action, General;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/alex-rider-stormbreaker
Unfabulous;GBA;THQ;Oct  2, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;WayForward;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/unfabulous
Harlem Globetrotters: World Tour;GBA;DSI Games;Oct  2, 2006;28.0;4.0;0.0;0.0;4.0;tbd;;;;;DSI Games;Sports, Traditional, Basketball, Arcade;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/harlem-globetrotters-world-tour
Princess Natasha: Student Secret Agent;GBA;DSI Games;Oct  2, 2006;;;;;;tbd;;;;;Frame Studios Interactive;;;;;;;https://www.metacritic.com/game/game-boy-advance/princess-natasha-student-secret-agent
